Bus Route Number,Source Location,Destination Location,Type of Bus,Time
33B,Tirunelveli,Tiruppur,Express,22:27
2A,Kanchipuram,Ramanathapuram,Government,04:13
40D,Nagercoil,Tiruvannamalai,AC,12:43
47A,Tiruvallur,Thoothukudi,Government,09:35
62C,Erode,Vellore,Non-AC,15:55
70C,Tirunelveli,Krishnagiri,AC,07:15
22A,Nagapattinam,Ramanathapuram,Non-AC,13:08
58A,Namakkal,Erode,Government,16:57
77C,Tirunelveli,Virudhunagar,Non-AC,07:32
82C,Nagapattinam,Tiruvannamalai,AC,05:00
34D,Virudhunagar,Karur,AC,03:31
76A,Karur,Dharmapuri,AC,07:27
40B,Tiruppur,Virudhunagar,AC,01:31
13B,Vellore,Tiruvannamalai,AC,08:29
16D,Dindigul,Kanchipuram,Private,19:19
77B,Thoothukudi,Tiruchirappalli,Express,02:36
80C,Vellore,Salem,Non-AC,22:33
48B,Dindigul,Kanchipuram,Private,22:55
86C,Dharmapuri,Dindigul,Non-AC,16:22
24D,Namakkal,Vellore,Government,21:18
19A,Dindigul,Nagercoil,Express,23:52
80D,Tiruvallur,Coimbatore,Government,14:47
22B,Ramanathapuram,Dharmapuri,AC,01:28
80C,Tiruppur,Tiruvallur,Non-AC,22:10
93C,Karur,Cuddalore,Government,16:14
77B,Nagapattinam,Krishnagiri,Express,07:47
49A,Karur,Chennai,Non-AC,21:22
78A,Thanjavur,Ramanathapuram,Non-AC,03:35
4B,Thanjavur,Dharmapuri,Government,15:07
63D,Salem,Chennai,Non-AC,00:26
75C,Madurai,Nagapattinam,Express,08:05
27A,Kanchipuram,Dindigul,AC,00:53
72D,Erode,Perambalur,Government,19:29
4D,Perambalur,Virudhunagar,Private,17:15
58D,Krishnagiri,Coimbatore,Non-AC,09:41
45B,Madurai,Cuddalore,Private,13:20
74B,Hosur,Kanchipuram,Private,18:15
21B,Namakkal,Madurai,AC,05:34
77A,Nagapattinam,Dindigul,Express,11:57
19C,Thanjavur,Ariyalur,Private,04:53
33D,Namakkal,Erode,Government,18:57
78A,Coimbatore,Pudukkottai,Private,19:17
64A,Erode,Tirunelveli,AC,21:10
69C,Sivakasi,Namakkal,Non-AC,23:24
18A,Tiruppur,Salem,Private,07:16
9C,Thoothukudi,Madurai,Government,08:14
3D,Thoothukudi,Dharmapuri,AC,02:39
77B,Tiruvallur,Tiruppur,Non-AC,04:18
49A,Nagercoil,Pudukkottai,Government,00:03
13D,Ariyalur,Ramanathapuram,AC,04:52
7B,Madurai,Sivakasi,Express,03:44
35A,Nagercoil,Hosur,Government,22:56
63B,Tiruppur,Coimbatore,Non-AC,05:23
61A,Cuddalore,Chennai,Non-AC,19:38
35D,Cuddalore,Madurai,Private,10:17
78C,Karur,Thoothukudi,Non-AC,17:05
93D,Dharmapuri,Kanchipuram,Government,03:53
45C,Thanjavur,Nagercoil,Private,20:17
88C,Nagapattinam,Thoothukudi,Government,01:49
48A,Madurai,Nagercoil,Private,20:20
89A,Kanchipuram,Tiruvannamalai,AC,15:31
38D,Perambalur,Erode,Express,08:53
5A,Kanchipuram,Erode,AC,05:04
13C,Krishnagiri,Thanjavur,Express,13:21
86D,Ariyalur,Coimbatore,Government,03:48
94B,Cuddalore,Namakkal,Express,07:44
88C,Kanchipuram,Ariyalur,AC,23:46
15C,Chennai,Nagercoil,Express,09:07
96D,Ariyalur,Dharmapuri,AC,04:18
67D,Tiruvannamalai,Tiruvallur,AC,12:43
69A,Dharmapuri,Virudhunagar,Non-AC,08:05
56B,Vellore,Pudukkottai,AC,08:47
16D,Thoothukudi,Karur,Express,16:25
87D,Tiruvallur,Vellore,Non-AC,05:12
95C,Salem,Namakkal,Express,23:25
66A,Tiruvannamalai,Dindigul,Express,12:51
28B,Vellore,Tiruchirappalli,Private,07:57
2C,Vellore,Thanjavur,Non-AC,02:37
65B,Dindigul,Dharmapuri,Government,20:36
72B,Thanjavur,Ramanathapuram,Express,22:55
89A,Tiruppur,Thanjavur,Private,23:09
33C,Dindigul,Tiruvallur,AC,16:46
69A,Coimbatore,Krishnagiri,AC,05:21
37A,Kanchipuram,Tirunelveli,Private,10:17
65C,Nagapattinam,Hosur,AC,00:38
22D,Chennai,Nagercoil,Government,15:36
69A,Chennai,Hosur,Private,01:43
66C,Nagercoil,Cuddalore,Express,10:12
74C,Salem,Karur,Government,11:12
42A,Vellore,Thoothukudi,AC,12:21
61D,Tiruvannamalai,Cuddalore,Government,02:22
71D,Tiruchirappalli,Cuddalore,Government,18:08
6B,Cuddalore,Madurai,Government,19:17
60B,Krishnagiri,Coimbatore,Express,12:21
53D,Madurai,Ramanathapuram,Private,17:08
33A,Tiruppur,Ariyalur,Non-AC,12:42
87A,Tiruvannamalai,Nagapattinam,Non-AC,13:25
53A,Dharmapuri,Tiruppur,Government,04:42
72C,Ramanathapuram,Ariyalur,Non-AC,05:15
69B,Nagercoil,Nagapattinam,Private,06:59
3B,Karur,Tiruvannamalai,AC,18:06
64C,Krishnagiri,Perambalur,AC,15:19
98B,Madurai,Perambalur,Private,15:34
26B,Coimbatore,Dindigul,AC,10:50
28A,Chennai,Krishnagiri,Private,00:09
2A,Vellore,Namakkal,Private,18:43
53C,Thoothukudi,Madurai,Express,10:10
99C,Erode,Pudukkottai,Express,09:19
76D,Nagercoil,Tiruchirappalli,Non-AC,21:50
45D,Krishnagiri,Erode,AC,14:50
28C,Nagercoil,Thoothukudi,Express,09:27
72A,Vellore,Nagapattinam,Non-AC,21:11
53D,Tiruchirappalli,Karur,Express,05:07
67A,Sivakasi,Ariyalur,AC,17:20
70A,Dindigul,Karur,AC,05:27
99B,Namakkal,Nagapattinam,Non-AC,08:50
65D,Thoothukudi,Ariyalur,Express,21:51
83D,Nagercoil,Karur,Private,12:39
4A,Karur,Kanchipuram,Non-AC,19:27
58B,Vellore,Nagapattinam,AC,23:26
64C,Dharmapuri,Dindigul,Express,07:17
57D,Dharmapuri,Tiruvannamalai,Express,00:29
19D,Madurai,Cuddalore,Express,01:47
5A,Thanjavur,Tiruvannamalai,Express,00:35
